Visitor,TS_Design_Selected,TS_Design_Name,TS_Reward,TS_Regret,TS_Cumul_Reward,Random_Design_Selected,Random_Reward,Random_Regret,Random_Cumul_Reward
200,4,Free shipping + money-back,0,0.0,90,1,0,0.20000000000000007,68
201,4,Free shipping + money-back,0,0.0,90,3,1,0.10000000000000003,69
202,4,Free shipping + money-back,1,0.0,91,2,0,0.25000000000000006,69
203,4,Free shipping + money-back,1,0.0,92,4,1,0.0,70
204,4,Free shipping + money-back,0,0.0,92,2,0,0.25000000000000006,70
205,4,Free shipping + money-back,1,0.0,93,1,0,0.20000000000000007,70
206,4,Free shipping + money-back,1,0.0,94,2,1,0.25000000000000006,71
207,4,Free shipping + money-back,0,0.0,94,1,1,0.20000000000000007,72
208,4,Free shipping + money-back,1,0.0,95,1,0,0.20000000000000007,72
209,4,Free shipping + money-back,1,0.0,96,1,0,0.20000000000000007,72
210,3,Doctor endorsement + quote,1,0.10000000000000003,97,2,1,0.25000000000000006,73
211,4,Free shipping + money-back,1,0.0,98,4,1,0.0,74
212,4,Free shipping + money-back,0,0.0,98,0,0,0.35000000000000003,74
213,4,Free shipping + money-back,1,0.0,99,0,0,0.35000000000000003,74
214,4,Free shipping + money-back,1,0.0,100,2,1,0.25000000000000006,75
215,4,Free shipping + money-back,0,0.0,100,4,0,0.0,75
216,4,Free shipping + money-back,0,0.0,100,0,0,0.35000000000000003,75
217,4,Free shipping + money-back,1,0.0,101,1,0,0.20000000000000007,75
218,4,Free shipping + money-back,1,0.0,102,2,0,0.25000000000000006,75
219,4,Free shipping + money-back,0,0.0,102,2,1,0.25000000000000006,76
220,1,Urgency — 'Only 12 left!',0,0.20000000000000007,102,3,1,0.10000000000000003,77
221,4,Free shipping + money-back,1,0.0,103,3,0,0.10000000000000003,77
222,4,Free shipping + money-back,0,0.0,103,3,0,0.10000000000000003,77
223,4,Free shipping + money-back,0,0.0,103,4,0,0.0,77
224,4,Free shipping + money-back,0,0.0,103,2,0,0.25000000000000006,77
225,4,Free shipping + money-back,0,0.0,103,3,0,0.10000000000000003,77
226,4,Free shipping + money-back,0,0.0,103,2,0,0.25000000000000006,77
227,4,Free shipping + money-back,1,0.0,104,1,0,0.20000000000000007,77
228,4,Free shipping + money-back,0,0.0,104,3,0,0.10000000000000003,77
